January 01,	New Years Day	
January 19,	Martin Luther King Day	
February 02,	Groundhog Day	
February 16,	Presidents Day	
April 16,	Emancipation Day	
May 10,	Mothers Day
May 25,	Memorial Day	
June 21,	Fathers Day	
July 03,	Independence Day 
September 07,	Labor Day	
October 12,	Columbus Day	
November 11,	Veterans Day	
November 26,	Thanksgiving	
December 25,	Christmas Day
08/14, Application Deadline for DU Residential Fall 2015 Session 
09/28, Start of DU Residential Fall 2015 Session
11/13, End of DU Residential Fall 2015 Session
8/11, Startup U on ABC Family at 10/9c
8/18, Startup U on ABC Family at 10/9c
8/25, Startup U on ABC Family at 10/9c
9/1, Startup U on ABC Family at 10/9c
9/8, Startup U on ABC Family at 10/9c
9/15, Startup U on ABC Family at 10/9c
9/22, Startup U on ABC Family at 10/9c
9/29, Startup U on ABC Family at 10/9c
10/6, Startup U on ABC Family at 10/9c
10/13, Startup U on ABC Family at 10/9c
